Nombre del producto farmacéutico,Tipo de fármaco,Nombre del laboratorio ofertante,Estado,Aportación del beneficiario,Principio activo o asociación de principios activos,Precio venta con IVA_Euros,Nombre de la agrupación homogénea del producto sanitario,Diagnóstico hospitalario,Tratamiento de larga duración,Especial control médico,Medicamento huérfano
"DOXAZOSINA NEO BEXAL 4 mg comprimidos de liberacion prolongada , 28 comprimidos",Medicamento Generico,"BEXAL FARMACEUTICA, S.A.",BAJA GENERAL,ESPECIAL,DOXAZOSINA MESILATO,7.27,DOXAZOSINA 4 MG 28 COMPRIMIDOS LIBERACION MODIFICADA,NO,SI,NO,NO
"PANTOPRAZOL BEXAL 40 mg comprimidos gastrorresistentes , 28 comprimidos",Medicamento Generico,"BEXAL FARMACEUTICA, S.A.",BAJA GENERAL,NORMAL,PANTOPRAZOL SODICO,17.48,PANTOPRAZOL 40 MG 28 COMPRIMIDOS ENTERICOS/GASTRORRESISTENTES,NO,NO,NO,NO
LORATADINA TEVA 10MG 20 COMPRIMIDOS EFG,Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,NORMAL,LORATADINA,3.11,LORATADINA 10 MG 20 COMPRIMIDOS,NO,NO,NO,NO
"PANTOPRAZOL BEXAL 20 mg comprimidos gastrorresistentes , 28 comprimidos",Medicamento Generico,"BEXAL FARMACEUTICA, S.A.",BAJA GENERAL,NORMAL,PANTOPRAZOL SODICO,8.74,PANTOPRAZOL 20 MG 28 COMPRIMIDOS ENTERICOS/GASTRORRESISTENTES,NO,NO,NO,NO
"FLUVASTATINA PROLIB SANDOZ 80 mg comprimidos de liberacion prolongada , 28 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,NORMAL,FLUVASTATINA SODICA,19.98,FLUVASTATINA 80 MG 28 COMPRIMIDOS LIBERACION MODIFICADA,NO,SI,NO,NO
"OMEPRAZOL MEIJI 20 mg CAPSULAS DURAS GASTRORRESISTENTES , 28 capsulas",Medicamento Etica,"MEIJI PHARMA SPAIN, S.A.",BAJA GENERAL,NORMAL,OMEPRAZOL,2.42,OMEPRAZOL 20 MG 28 CAPSULAS ENTERICAS/GASTRORRESISTENTES,NO,NO,NO,NO
"RISEDRONATO SEMANAL SANDOZ 35 mg comprimidos recubiertos con pelicula , 4 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,NORMAL,RISEDRONATO SODIO,19.84,ACIDO RISEDRONICO 35 MG 4 COMPRIMIDOS,NO,NO,NO,NO
"OMEPRAZOL MABO-FARMA 40 mg CAPSULAS DURAS GASTRORRESISTENTES , 28 capsulas",Medicamento Etica,"MABO-FARMA, S.A.",BAJA GENERAL,NORMAL,OMEPRAZOL,4.15,OMEPRAZOL 40 MG 28 CAPSULAS ENTERICAS/GASTRORRESISTENTES,NO,NO,NO,NO
FLUCONAZOL NORMON 50MG 7 CAPSULAS DURAS EFG,Medicamento Generico,NORMON S.A.,ALTA,NORMAL,FLUCONAZOL,7.51,FLUCONAZOL 50 MG 7 CAPSULAS,NO,NO,NO,NO
FLUCONAZOL NORMON 100MG 7 CAPSULAS DURAS  EFG,Medicamento Generico,NORMON S.A.,ALTA,NORMAL,FLUCONAZOL,15,FLUCONAZOL 100 MG 7 CAPSULAS,NO,NO,NO,NO
FLUCONAZOL NORMON 150MG 1 CAPSULA DURA  EFG,Medicamento Generico,NORMON S.A.,ALTA,NORMAL,FLUCONAZOL,3.22,FLUCONAZOL 150 MG 1 CAPSULAS,NO,NO,NO,NO
FLUCONAZOL NORMON 150MG 4 CAPSULAS DURAS  EFG,Medicamento Generico,NORMON S.A.,ALTA,NORMAL,FLUCONAZOL,12.86,FLUCONAZOL 150 MG 4 CAPSULAS,NO,NO,NO,NO
FLUCONAZOL NORMON 200MG  7 CAPSULAS DURAS EFG,Medicamento Generico,NORMON S.A.,ALTA,NORMAL,FLUCONAZOL,30,FLUCONAZOL 200 MG 7 CAPSULAS,NO,NO,NO,NO
"XAGRID 0,5MG 1 FRASCO 100 CAPSULAS DURAS",Medicamento Etica,"TAKEDA FARMACEUTICA ESPAÑA, S.A",ALTA,ESPECIAL,ANAGRELIDA HIDROCLORURO,312.95,"ANAGRELIDA 0,5 MG 100 CAPSULAS",SI,NO,NO,NO
"OLANZAPINA SANDOZ 10 mg comprimidos recubiertos con pelicula , 56 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,OLANZAPINA,105.78,OLANZAPINA 10 MG 56 COMPRIMIDOS,NO,NO,NO,NO
"NODETRIP 30 MG CAPSULAS DURAS GASTRORRESISTENTES, 28 capsulas",Medicamento Etica,"ESTEVE PHARMACEUTICALS, S.A.",BAJA GENERAL,ESPECIAL,DULOXETINA HIDROCLORURO,13.36,DULOXETINA 30MG 28 CAPSULAS ENTERICAS/GASTRORRESISTENTES,NO,NO,NO,NO
"ARIXTRA 5MG/0,4ML 10 JER PREC SOLUC INY 0,4ML",Medicamento Etica,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,ESPECIAL,FONDAPARINUX SODICO,164.86,,NO,NO,NO,NO
"ARIXTRA 7,5MG/0,6ML 10 JERIN PREC SOLUC INY 0,6ML",Medicamento Etica,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,ESPECIAL,FONDAPARINUX SODICO,223.42,,NO,NO,NO,NO
"OLANZAPINA SANDOZ 10 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,OLANZAPINA,52.89,OLANZAPINA 10 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"VALSARTAN SANDOZ 160 mg comprimidos recubiertos con pelicula , 28 comprimidos (blister de PV C/PVDC/AL)",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,VALSARTAN,16.3,VALSARTAN 160 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"VALSARTAN/HIDROCLOROTIAZIDA SANDOZ 160 mg/12,5 mg comprimidos recubiertos con pelicula , 28 comprimidos (blister de PVC/PVDC/AL)",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,NORMAL,"HIDROCLOROTIAZIDA,VALSARTAN",11.99,"VALSARTAN/HIDROCLOROTIAZIDA 160MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"LACTISONA 10 mg/ml EMULSION CUTANEA , 1 frasco de 60 ml",Medicamento Etica,"STIEFEL FARMA, S.A",BAJA GENERAL,NORMAL,HIDROCORTISONA,3.92,,NO,NO,NO,NO
"VALSARTAN/HIDROCLOROTIAZIDA SANDOZ 160 mg/25 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,NORMAL,"HIDROCLOROTIAZIDA,VALSARTAN",11.99,VALSARTAN/HIDROCLOROTIAZIDA 160MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"SIMVASTATINA ALMUS 20 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"ALMUS FARMACEUTICA, S.A.U.",ALTA,NORMAL,SIMVASTATINA,1.58,SIMVASTATINA 20 MG 28 COMPRIMIDOS,NO,SI,NO,NO
"SIMVASTATINA ALMUS 40 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"ALMUS FARMACEUTICA, S.A.U.",ALTA,NORMAL,SIMVASTATINA,2.17,SIMVASTATINA 40 MG 28 COMPRIMIDOS,NO,SI,NO,NO
AFLUON 0.1% 20ML PULVERIZADOR SPRAY NASAL,Medicamento Etica,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,NORMAL,AZELASTINA HIDROCLORURO,11.33,AZELASTINA 1 MG 20 PULVERIZACIONES NASALES,NO,NO,NO,NO
"REPAGLINIDA SANDOZ 2 mg comprimidos , 90 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",BAJA POR NO COMERCIALIZAR,ESPECIAL,REPAGLINIDA,11.18,REPAGLINIDA 2 MG 90 COMPRIMIDOS,NO,NO,NO,NO
"ENALAPRIL ARISTO 20 mg COMPRIMIDOS EFG , 28 comprimidos",Medicamento Generico,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,ESPECIAL,ENALAPRIL MALEATO,1.61,ENALAPRIL 20 MG 28 COMPRIMIDOS,NO,SI,NO,NO
"FUTURAN PLUS 600/12,5MG 28 COMPRIM RECUBI PELIC",Medicamento Etica,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,NORMAL,"EPROSARTAN,HIDROCLOROTIAZIDA",24.82,"EPROSARTAN/HIDROCLOROTIAZIDA 600MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
MELOXICAM KERN PHARMA 15MG 20 COMPRIMIDOS EFG,Medicamento Generico,"KERN PHARMA, S.L.",ALTA,NORMAL,MELOXICAM,2.54,MELOXICAM 15 MG 20 COMPRIMIDOS,NO,NO,NO,NO
"LERCANIDIPINO SANDOZ 20 mg comprimidos recubiertos con pelicula , 28 comprimidos (blister AL/PVDC)",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,LERCANIDIPINO HIDROCLORURO,12.47,LERCANIDIPINO 20 MG 28 COMPRIMIDOS,NO,NO,NO,NO
FORMOTEROL ALDO-UNION 12MCG 60 CAPSULAS POLVO INHA,Medicamento con Denominacion Generica,"ALDO-UNION, S.L.",ALTA,ESPECIAL,FORMOTEROL FUMARATO DIHIDRATO,22.54,,NO,SI,NO,NO
"OLANZAPINA SANDOZ 5 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,OLANZAPINA,26.44,OLANZAPINA 5 MG 28 COMPRIMIDOS,NO,NO,NO,NO
QUINAPRIL NORMON 40MG  28 COMPRI RECUB PELIC EFG,Medicamento Generico,NORMON S.A.,ALTA,ESPECIAL,QUINAPRIL HIDROCLORURO,9.3,QUINAPRIL 40 MG 28 COMPRIMIDOS,NO,SI,NO,NO
QUINAPRIL NORMON 20MG  28 COMPR RECUBI PELIC  EFG,Medicamento Generico,NORMON S.A.,ALTA,ESPECIAL,QUINAPRIL HIDROCLORURO,4.65,QUINAPRIL 20 MG 28 COMPRIMIDOS,NO,SI,NO,NO
QUINAPRIL NORMON 5MG  60 COMPRIM RECUB PELIC EFG,Medicamento Generico,NORMON S.A.,BAJA GENERAL,ESPECIAL,QUINAPRIL HIDROCLORURO,2.5,QUINAPRIL 5 MG 60 COMPRIMIDOS,NO,SI,NO,NO
"REPAGLINIDA SANDOZ 1 mg comprimidos , 90 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",BAJA POR NO COMERCIALIZAR,ESPECIAL,REPAGLINIDA,5.59,REPAGLINIDA 1 MG 90 COMPRIMIDOS,NO,NO,NO,NO
"VYTORIN 10 mg/20 mg comprimidos, 28 Comprimidos",Medicamento Etica,"ORGANON SALUD, S.L.",ALTA,NORMAL,"SIMVASTATINA,EZETIMIBA",32.72,SIMVASTATINA/EZETIMIBA 20MG/10MG 28 COMPRIMIDOS,NO,NO,NO,NO
FORMOTEROL STADA 12MCG POLVO INHALACION 60 CAPSULA,Medicamento Etica,"STADA, S.L",ALTA,ESPECIAL,FORMOTEROL FUMARATO DIHIDRATO,22.54,,NO,SI,NO,NO
OXYNORM 5MG 28 CAPSULAS,Medicamento Etica,"MUNDIPHARMA PHARMACEUTICALS, S.L.",ALTA,NORMAL,OXICODONA HIDROCLORURO,3.81,,NO,NO,NO,NO
OXYNORM 10MG 28 CAPSULAS,Medicamento Etica,"MUNDIPHARMA PHARMACEUTICALS, S.L.",ALTA,NORMAL,OXICODONA HIDROCLORURO,7.6,,NO,NO,NO,NO
"VALSARTAN SANDOZ 320 mg comprimidos recubiertos con pelicula , 28 comprimidos (blister de PVC/PVDC/AL)",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,VALSARTAN,32.6,VALSARTAN 320 MG 28 COMPRIMIDOS,NO,NO,NO,NO
OXYNORM 20MG 28 CAPSULAS,Medicamento Etica,"MUNDIPHARMA PHARMACEUTICALS, S.L.",ALTA,NORMAL,OXICODONA HIDROCLORURO,15.2,,NO,NO,NO,NO
"REPAGLINIDA SANDOZ 0,5 mg comprimidos , 90 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",BAJA GENERAL,ESPECIAL,REPAGLINIDA,2.79,"REPAGLINIDA 0,5 MG 90 COMPRIMIDOS",NO,NO,NO,NO
RISPERIDONA STADA 1MG 20 COMPRIM RECUB PELIC EFG,Medicamento Generico,"STADA, S.L",ALTA,ESPECIAL,RISPERIDONA,2.75,RISPERIDONA 1 MG 20 COMPRIMIDOS,NO,NO,NO,NO
RISPERIDONA STADA 1MG 60 COMPRIMID RECUB PELIC EFG,Medicamento Generico,"STADA, S.L",ALTA,ESPECIAL,RISPERIDONA,8.23,RISPERIDONA 1 MG 60 COMPRIMIDOS,NO,NO,NO,NO
RISPERIDONA STADA 3MG 60 COMPRIMID RECUB PELIC EFG,Medicamento Generico,"STADA, S.L",ALTA,ESPECIAL,RISPERIDONA,24.67,RISPERIDONA 3 MG 60 COMPRIMIDOS,NO,NO,NO,NO
"VALSARTAN SANDOZ 40 mg comprimidos recubiertos con pelicula , 14 comprimidos (blister de PVC/PVDC/AL)",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,VALSARTAN,2.5,VALSARTAN 40 MG 14 COMPRIMIDOS,NO,NO,NO,NO
RISPERIDONA STADA 6MG 60 COMPRIMID RECUB PELIC EFG,Medicamento Generico,"STADA, S.L",ALTA,ESPECIAL,RISPERIDONA,49.31,RISPERIDONA 6 MG 60 COMPRIMIDOS,NO,NO,NO,NO
"OLANZAPINA SANDOZ 7,5 mg comprimidos recubiertos con pelicula , 56 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,OLANZAPINA,79.33,"OLANZAPINA 7,5 MG 56 COMPRIMIDOS",NO,NO,NO,NO
"VALSARTAN/HIDROCLOROTIAZIDA SANDOZ 80 mg/12,5 mg comprimidos recubiertos con pelicula , 28 comprimidos (blister de PVC/PVDC/AL)",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,NORMAL,"VALSARTAN,HIDROCLOROTIAZIDA",5.99,"VALSARTAN/HIDROCLOROTIAZIDA 80MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"RISPERIDONA QUALIGEN 1 mg comprimidos, 20 comprimidos recubiertos con pelicula",Medicamento Generico,"NEURAXPHARM SPAIN, S.L.U",ALTA,ESPECIAL,RISPERIDONA,2.75,RISPERIDONA 1 MG 20 COMPRIMIDOS,NO,NO,NO,NO
"RISPERIDONA QUALIGEN 1 mg comprimidos, 60 comprimidos recubiertos con pelicula",Medicamento Generico,"NEURAXPHARM SPAIN, S.L.U",ALTA,ESPECIAL,RISPERIDONA,8.23,RISPERIDONA 1 MG 60 COMPRIMIDOS,NO,NO,NO,NO
"OLANZAPINA SANDOZ 2,5 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,OLANZAPINA,13.22,"OLANZAPINA 2,5 MG 28 COMPRIMIDOS",NO,NO,NO,NO
"RISPERIDONA QUALIGEN 6 mg comprimidos, 30 comprimidos recubiertos con pelicula",Medicamento Generico,"NEURAXPHARM SPAIN, S.L.U",ALTA,ESPECIAL,RISPERIDONA,24.67,RISPERIDONA 6 MG 30 COMPRIMIDOS,NO,NO,NO,NO
"RISPERIDONA QUALIGEN 6 mg comprimidos, 60 comprimidos recubiertos con pelicula",Medicamento Generico,"NEURAXPHARM SPAIN, S.L.U",ALTA,ESPECIAL,RISPERIDONA,49.31,RISPERIDONA 6 MG 60 COMPRIMIDOS,NO,NO,NO,NO
"RISPERIDONA QUALIGEN 3mg comprimidos, 20 comprimidos recubiertos con pelicula",Medicamento Generico,"NEURAXPHARM SPAIN, S.L.U",ALTA,ESPECIAL,RISPERIDONA,8.23,RISPERIDONA 3 MG 20 COMPRIMIDOS,NO,NO,NO,NO
"RISPERIDONA QUALIGEN 3mg comprimidos, 60 comprimidos recubiertos con pelicula",Medicamento Generico,"NEURAXPHARM SPAIN, S.L.U",ALTA,ESPECIAL,RISPERIDONA,24.67,RISPERIDONA 3 MG 60 COMPRIMIDOS,NO,NO,NO,NO
"VALSARTAN SANDOZ 80 mg comprimidos recubiertos con pelicula , 28 comprimidos (blister de PVC/PVDC/AL)",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,VALSARTAN,8.15,VALSARTAN 80 MG 28 COMPRIMIDOS,NO,NO,NO,NO
ACIDO ALENDRONICO SEMANAL SANDOZ 70 mg comprimidos; 4,Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",BAJA GENERAL,NORMAL,ALENDRONATO SODIO TRIHIDRATO,9.99,ACIDO ALENDRONICO 70 MG 4 COMPRIMIDOS,NO,NO,NO,NO
"AMLODIPINO SANDOZ 10 mg comprimidos , 30 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,AMLODIPINO BESILATO,2.5,AMLODIPINO 10 MG 30 COMPRIMIDOS,NO,SI,NO,NO
OMEPRAZOL VIR 40MG 14 CAPSULAS GASTRORRESISTENTES,Medicamento Etica,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,NORMAL,OMEPRAZOL,2.5,OMEPRAZOL 40 MG 14 CAPSULAS ENTERICAS/GASTRORRESISTENTES,NO,NO,NO,NO
OMEPRAZOL VIR 40MG 28 CAPSULAS GASTRORRESISTENTES,Medicamento Etica,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,NORMAL,OMEPRAZOL,4.15,OMEPRAZOL 40 MG 28 CAPSULAS ENTERICAS/GASTRORRESISTENTES,NO,NO,NO,NO
"OMEPRAZOL APOTEX 40 MG CAPSULAS DURAS GASTRORRESISTENTES , 28 capsulas",Medicamento Etica,"APOTEX ESPAÑA, S.L",BAJA GENERAL,NORMAL,OMEPRAZOL,4.15,OMEPRAZOL 40 MG 28 CAPSULAS ENTERICAS/GASTRORRESISTENTES,NO,NO,NO,NO
CETIRIZINA CINFA 10MG 20 COMPRIM RECUB PELIC EFG,Medicamento Generico,CINFA S.A.,ALTA,NORMAL,CETIRIZINA DIHIDROCLORURO,3.12,CETIRIZINA 10 MG 20 COMPRIMIDOS,NO,NO,NO,NO
"CETIRIZINA PENSA 10 mg comprimidos recubiertos con pelicula , 20 comprimidos",Medicamento Generico,"TOWA PHARMACEUTICAL, S.A.",ALTA,NORMAL,CETIRIZINA DIHIDROCLORURO,3.12,CETIRIZINA 10 MG 20 COMPRIMIDOS,NO,NO,NO,NO
PRAVASTATINA TEVA 10MG 28 COMPRIMIDOS EFG,Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,NORMAL,PRAVASTATINA SODICA,4.07,PRAVASTATINA 10 MG 28 COMPRIMIDOS,NO,SI,NO,NO
PRAVASTATINA TEVA 20MG 28 COMPRIMIDOS EFG,Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,NORMAL,PRAVASTATINA SODICA,8.15,PRAVASTATINA 20 MG 28 COMPRIMIDOS,NO,SI,NO,NO
PRAVASTATINA TEVA 40MG 28 COMPRIMIDOS EFG,Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,NORMAL,PRAVASTATINA SODICA,16.3,PRAVASTATINA 40 MG 28 COMPRIMIDOS,NO,SI,NO,NO
OXYNORM CONCENTRADO 10MG/ML 30ML SOLUCION ORAL,Medicamento Etica,"MUNDIPHARMA PHARMACEUTICALS, S.L.",ALTA,NORMAL,OXICODONA HIDROCLORURO,8.15,,NO,NO,NO,NO
RESINCALCIO 15G 26 SOBRES,Medicamento Etica,RUBIO S.A.,ALTA,ESPECIAL,POLIESTIRENOSULFONATO CALCIO,28.96,,NO,NO,NO,NO
"ELIGARD MENSUAL 7,5MG 1 JERIN POLV Y 1 JER DISOLV",Medicamento Etica,"CASEN RECORDATI, S.L..",ALTA,ESPECIAL,LEUPRORELINA ACETATO,124.12,,NO,NO,NO,NO
CODEROL 1500MG/SOB 30 SOB POLVO PARA SOLUCION ORAL,Medicamento Etica,"ALMIRALL, S.A.",SUSPENSION TEMPORAL GENERAL,NORMAL,GLUCOSAMINA SULFATO,6.14,GLUCOSAMINA 1500MG (1178MG) 30 SOBRES SOLUCION/SUSPENSION ORAL,NO,NO,NO,NO
"ELIGARD TRIMESTRAL  22,5 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE , 1 jeringa precargada + 1 jeringa precargada de disolvente",Medicamento Etica,"CASEN RECORDATI, S.L..",ALTA,ESPECIAL,LEUPRORELINA ACETATO,301.03,,NO,NO,NO,NO
"CARVEDILOL KRKA 25 MG COMPRIMIDOS EFG , 28 comprimidos",Medicamento Generico,KRKA D.D. NOVO MESTO,ALTA,ESPECIAL,CARVEDILOL,6.04,CARVEDILOL 25 MG 28 COMPRIMIDOS,NO,SI,NO,NO
"LOETTE DIARIO 100/20 microgramos comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Etica,"PFIZER, S.L",ALTA,NORMAL,"ETINILESTRADIOL,LEVONORGESTREL",2.58,LEVONORGESTREL/ETINILESTRADIOL 100MCG/20MCG 28 COMPRIMIDOS,NO,NO,NO,NO
"LOETTE DIARIO 100/20 microgramos comprimidos recubiertos con pelicula , 84 comprimidos",Medicamento Etica,"PFIZER, S.L",ALTA,NORMAL,"LEVONORGESTREL,ETINILESTRADIOL",7.73,LEVONORGESTREL/ETINILESTRADIOL 100MCG/20MCG 84 COMPRIMIDOS,NO,NO,NO,NO
DORMICUM 7.5MG 20 COMPRIMIDOS,Medicamento Etica,RUBIO S.A.,ALTA,NORMAL,MIDAZOLAM,2.65,,NO,NO,NO,NO
"DOXAZOSINA NEO SANDOZ 4 mg comprimidos de liberacion prolongada , 28 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,DOXAZOSINA MESILATO,7.27,DOXAZOSINA 4 MG 28 COMPRIMIDOS LIBERACION MODIFICADA,NO,SI,NO,NO
"ENALAPRIL SANDOZ 20 mg comprimidos , 28 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,ENALAPRIL MALEATO,1.61,ENALAPRIL 20 MG 28 COMPRIMIDOS,NO,SI,NO,NO
SINERGINA 100MG 100 COMPRIMIDOS,Medicamento Etica,"FAES FARMA, S.A.",ALTA,ESPECIAL,FENITOINA,3.12,,NO,SI,NO,NO
REMINYL 8MG 28 CAPSULAS DURAS LIBERACION PROLONGAD,Medicamento Etica,JANSSEN CILAG S.A.,ALTA,NORMAL,GALANTAMINA HIDROBROMURO,23.12,GALANTAMINA 8 MG 28 CAPSULAS LIBERACION MODIFICADA,SI,NO,NO,NO
REMINYL 16MG 28 CAPSULAS DURAS LIBERACION PROLONGA,Medicamento Etica,JANSSEN CILAG S.A.,ALTA,NORMAL,GALANTAMINA HIDROBROMURO,46.24,GALANTAMINA 16 MG 28 CAPSULAS LIBERACION MODIFICADA,SI,NO,NO,NO
REMINYL 24MG 28 CAPSULAS DURAS LIBERACION PROLONGA,Medicamento Etica,JANSSEN CILAG S.A.,ALTA,NORMAL,GALANTAMINA HIDROBROMURO,69.36,GALANTAMINA 24 MG 28 CAPSULAS LIBERACION MODIFICADA,SI,NO,NO,NO
HESPERCORBIN 1500MG POLVO 30 SOBRES,Medicamento Etica,ZAMBON S.A.U.,BAJA GENERAL,NORMAL,GLUCOSAMINA SULFATO,6.14,GLUCOSAMINA 1500MG (1178MG) 30 SOBRES SOLUCION/SUSPENSION ORAL,NO,NO,NO,NO
"LIDOCAINA  B. BRAUN 20 mg/ml solucion inyectable, 1 ampolla de 10 ml Miniplasco Classic",Medicamento Etica,B. BRAUN MEDICAL S.A.,ALTA,NORMAL,LIDOCAINA HIDROCLORURO,1,LIDOCAINA 200 MG 1 INYECTABLE GENERAL PARENTERAL,NO,NO,NO,NO
"FENTANILO MATRIX SANDOZ 100 microgramos/hora parches transdermicos , 5 parches transdermicos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,FENTANILO,58.51,FENTANILO 100 MCG 5 PARCHE TRANSDERMICO,NO,NO,NO,NO
"GLIMEPIRIDA SALUTAS 4 mg comprimidos , 120 comprimidos",Medicamento Generico,"BEXAL FARMACEUTICA, S.A.",BAJA GENERAL,ESPECIAL,GLIMEPIRIDA,20.36,GLIMEPIRIDA 4 MG 120 COMPRIMIDOS,NO,NO,NO,NO
"BUDESONIDA EASYHALER 200 mcg polvo para inhalacion , 200 dosis",Medicamento Etica,ORION CORPORATION,ALTA,ESPECIAL,BUDESONIDA,24.52,,NO,SI,NO,NO
"BUDESONIDA EASYHALER 100 microgramos polvo para inhalacion , 200 dosis",Medicamento Etica,ORION CORPORATION,ALTA,ESPECIAL,BUDESONIDA,12.25,,NO,SI,NO,NO
"BUDESONIDA EASYHALER 400 microgramos polvo para inhalacion , 100 dosis",Medicamento Etica,ORION CORPORATION,ALTA,ESPECIAL,BUDESONIDA,24.52,,NO,SI,NO,NO
"MIRTAZAPINA SANDOZ 30 mg COMPRIMIDOS BUCODISPERSABLES EFG , 30 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,MIRTAZAPINA,17.05,MIRTAZAPINA 30 MG 30 COMPRIMIDOS BUCODISPERSABLES/LIOTABS,NO,NO,NO,NO
CO-VALS FORTE 160MG/25MG 28 COMPRIM RECUBIE PELIC,Medicamento Etica,"ESTEVE PHARMACEUTICALS, S.A.",ALTA,NORMAL,"VALSARTAN,HIDROCLOROTIAZIDA",11.99,VALSARTAN/HIDROCLOROTIAZIDA 160MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"GLIMEPIRIDA SALUTAS 2 mg comprimidos , 120 comprimidos",Medicamento Generico,"BEXAL FARMACEUTICA, S.A.",BAJA GENERAL,ESPECIAL,GLIMEPIRIDA,10.18,GLIMEPIRIDA 2 MG 120 COMPRIMIDOS,NO,NO,NO,NO
"UROLOSIN OCAS 0,4MG 30 COMPR LIBER PROLO REC PELI",Medicamento Etica,"BOEHRINGER INGELHEIM ESPAÑA, S.A.",ALTA,NORMAL,TAMSULOSINA HIDROCLORURO,10.96,"TAMSULOSINA 0,4 MG 30 COMPRIMIDOS LIBERACION MODIFICADA",NO,NO,NO,NO
"OMNIC OCAS 0,4MG 30 COMPR LIBERAC PROLON REC PEL",Medicamento Etica,"ASTELLAS PHARMA, S.A",ALTA,NORMAL,TAMSULOSINA HIDROCLORURO,10.96,"TAMSULOSINA 0,4 MG 30 COMPRIMIDOS LIBERACION MODIFICADA",NO,NO,NO,NO
"MIRTAZAPINA SANDOZ 15 mg COMPRIMIDOS BUCODISPERSABLES EFG , 30 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,MIRTAZAPINA,8.52,MIRTAZAPINA 15 MG 30 COMPRIMIDOS BUCODISPERSABLES/LIOTABS,NO,NO,NO,NO
"SERTRALINA MABO 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG , 60 comprimidos",Medicamento Generico,"MABO-FARMA, S.A.",ALTA,ESPECIAL,SERTRALINA,11.66,SERTRALINA 50MG 60 COMPRIMIDOS,NO,NO,NO,NO
