DESCRIPCION PRINCIPIO ACTIVO,NOMBRE GENERICO,PRESENTACION,FABRICANTE,PRECIO MAXIMO DE VENTA TRANSACCION FINAL COMERCIAL
ESTROGENOS,FEVENY,SOLIDO,BCN MEDICAL,NO REGULADO
EVOLOCUMAB,REPATHA,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
FENOTEROL,BERODUAL HFA,LIQUIDO,BOEHRINGER,NO REGULADO
FENOTEROL,BERODUAL,LIQUIDO,BOEHRINGER,NO REGULADO
FLUTICASONA,AVAMYS,LIQUIDO,GLAXOSMITHKLINE,NO REGULADO
FLUTICASONA,FLIXOTIDE,LIQUIDO,GLAXOSMITHKLINE,NO REGULADO
FORMOTEROL,FORADIL,SOLIDO,NOVARTIS,NO REGULADO
GEFITINIB,IRESSA,SOLIDO,ASTRAZENECA,NO REGULADO
GLATIRAMER,COPAXONE,LIQUIDO/SOLIDO,TEVA,NO REGULADO
ICATIBANT,FIRAZYR,LIQUIDO/SOLIDO,BAXALTA,NO REGULADO
INDACATEROL,ONBRIZE BREEZHALER,SOLIDO,NOVARTIS,NO REGULADO
INMUNOGLOBULINA,RHOPHYLAC,LIQUIDO/SOLIDO,CSL,NO REGULADO
INMUNOGLOBULINA,HEPATECT CP,LIQUIDO/SOLIDO,BIOTEST,NO REGULADO
INSULINA,TRESIBA,LIQUIDO/SOLIDO,NOVO NORDISK,NO REGULADO
IPRATROPIO,ATROVENT HFA,LIQUIDO,BOEHRINGER,NO REGULADO
IPRATROPIO,CIPLATROPIUN,LIQUIDO,BIOTOSCANA,NO REGULADO
IPRATROPIO,IPRASYNT,LIQUIDO,BCN MEDICAL,NO REGULADO
LABETALOL,TRANDATE,LIQUIDO/SOLIDO,KERN PHARMA,NO REGULADO
LIRAGLUTIDE,VICTOZA,LIQUIDO/SOLIDO,NOVO NORDISK,NO REGULADO
LIRAGLUTIDE,SAXENDA6,LIQUIDO/SOLIDO,NOVO NORDISK,NO REGULADO
MEDROXIPROGESTERONA,PROVERA,SOLIDO,PFIZER,NO REGULADO
METFORMINA,TRAYENTA DUO,SOLIDO,BOEHRINGER,NO REGULADO
METFORMINA,GALVUSMET,SOLIDO,NOVARTIS,NO REGULADO
MIRABEGRON,MYRBETRIC,SOLIDO,ASTELLAS,NO REGULADO
NEPAFENACO,NEVANAC,LIQUIDO,NOVARTIS,NO REGULADO
NINTEDANIB,OFEV,SOLIDO,BOEHRINGER,NO REGULADO
NORELGESTROMIN,EVRA,SOLIDO,JANSSEN,NO REGULADO
NORETISTERONA,NOFERTYL,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
NORETISTERONA,MESIGYNA,LIQUIDO/SOLIDO,BAYER,NO REGULADO
OLAPARIB,LYNPARZA,SOLIDO,ASTRAZENECA,NO REGULADO
OLODATEROL,SPIOLTO RESPIMAT,LIQUIDO,BOEHRINGER,NO REGULADO
PALBOCICLIB,REAMPLA,SOLIDO,PFIZER,NO REGULADO
PALIPERIDONA,INVEGA TRINZA,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
PALIPERIDONA,INVEGA,SOLIDO,JANSSEN,NO REGULADO
PASIREOTIDA,SIGNIFORLAR,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
PEGASPARGASA,ONCASPAR,LIQUIDO/SOLIDO,LABORATORIOS SERVIER,NO REGULADO
PROGESTERONA,PROGESTOGEL,SEMISOLIDO,BESINS HEALTHCARE,NO REGULADO
PROGESTERONA,JARIT,SEMISOLIDO,PROCAPS,NO REGULADO
RALOXIFENO,EVISTA,SOLIDO,ELI LILLY,NO REGULADO
RIBOCICLIB,KISQALI,SOLIDO,NOVARTIS,NO REGULADO
SAXAGLIPTINA,ONGLYZA,SOLIDO,ASTRAZENECA,NO REGULADO
SIMVASTATIN,VYTORIN,SOLIDO,MERCK SHARP DOME,NO REGULADO
SIMVASTATIN,EZETIMIBE + SIMBASTATINA,SOLIDO,MK,NO REGULADO
SITAGLIPTINA,JANUVIA,SOLIDO,MERCK SHARP DOME,NO REGULADO
SOLIFENACINA,VESICARE,SOLIDO,ASTELLAS,NO REGULADO
TAFLUPROST,SAFLUTAN,LIQUIDO,MUNDIPHARMA,NO REGULADO
TIBOLONA,TIBONELLA,SOLIDO,CHALVER,NO REGULADO
TIBOLONA,TINOX,SOLIDO,SYNTHESIS,NO REGULADO
TIBOLONA,LIVIAL,SOLIDO,ORGANON,NO REGULADO
TIOTROPIO,SPIRIVARESPIMAT,LIQUIDO,BOEHRINGER,NO REGULADO
VALSARTAN,ENTRESTO,SOLIDO,NOVARTIS,NO REGULADO
NUSINERSEN,SPINRAZA,LIQUIDO/SOLIDO,BIOGEN,NO REGULADO
RIVAROXABAN,XARELTO,SOLIDO,BAYER,NO REGULADO
TOXINA,DYSPORT,LIQUIDO/SOLIDO,IPSEN,NO REGULADO
TOXINA,BOTOX,LIQUIDO/SOLIDO,ALLERGAN,NO REGULADO
RITUXIMAB,MABTHERA,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
TRASTUZUMAB,HERCEPTIN,SOLIDO,ROCHE,NO REGULADO
LENALIDOMIDA,REVLIMID,SOLIDO,CELGENE EUROPE,NO REGULADO
EVEROLIMUS,CERTICAN,SOLIDO,NOVARTIS,NO REGULADO
VENLAFAXINA,EFEXOR XR,SOLIDO,PFIZER,NO REGULADO
DOXORUBICINA,DOXOPEG,LIQUIDO/SOLIDO,FARMACEUTICA PARAGUAYA,NO REGULADO
ZOLEDRONICO,ZOMETA,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
ALPROSTADIL,ALPROSTAPINT,LIQUIDO/SOLIDO,PINT PHARMA,NO REGULADO
ALPROSTADIL,PROSTIN,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
LEVONORGESTREL,MIRENA,SOLIDO,BAYER,NO REGULADO
DIENOGEST,QLAIRA,SOLIDO,BAYER,NO REGULADO
DIENOGEST,EVELY,SOLIDO,LAFRANCOL,NO REGULADO
CEFUROXIME,CEFUROXIMA,SOLIDO,GENFAR,NO REGULADO
CEFUROXIME,ZINNAT,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
CEFUROXIME,XORIMAX,SOLIDO,SANDOZ,NO REGULADO
CEFUROXIME,CEFUROXIMA,SOLIDO,LA SANTE,NO REGULADO
ESTRADIOL,PROGYNOVA,SOLIDO,BAYER,NO REGULADO
ESTRADIOL,LINDISC,SOLIDO,BAYER,NO REGULADO
EXENATIDA,BYDUREONPEN,LIQUIDO/SOLIDO,ASTRAZENECA,NO REGULADO
ANTITIMOCITO,TIMOGLOBULINA,LIQUIDO/SOLIDO,GENZYME,NO REGULADO
METFORMINA,JANUMET,SOLIDO,MERCK SHARP DOME,NO REGULADO
METFORMINA,JANUMET XR,SOLIDO,MERCK SHARP DOME,NO REGULADO
BOSENTAN,TRACLEER,SOLIDO,ACTELION,NO REGULADO
BOSENTAN,BOSENTAN,SOLIDO,TECNOQUIMICAS,NO REGULADO
PACLITAXEL,ABRAXANE,LIQUIDO/SOLIDO,ABRAXIS BIOSCIENCE,NO REGULADO
SALMETEROL,SERETIDE OSP,LIQUIDO,GLAXOSMITHKLINE,NO REGULADO
SALMETEROL,SERECOR,LIQUIDO,NOVAMED,NO REGULADO
SALMETEROL,SERETIDE EVOHALER,LIQUIDO,GLAXOSMITHKLINE,NO REGULADO
SALMETEROL,SERETIDE DISKUS,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
VILANTEROL,RELVAR ELLIPTA,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
VILANTEROL,RELVARELLIPTA,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
FACTOR,IMMUNINE,LIQUIDO/SOLIDO,BAXALTA,NO REGULADO
FACTOR,BENEFIX,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
FACTOR,FACTOR,LIQUIDO/SOLIDO,BAXALTA,NO REGULADO
LOPINAVIR,KALETRA,LIQUIDO,,$56916.00
LOPINAVIR,KALETRA,SOLIDO,ABBOTT  / ABBVIE,$108048.00
LOPINAVIR,KALETRA,SOLIDO,ABBOTT  / ABBVIE,$27982.00
IMATINIB,GLIVEC,SOLIDO,NOVARTIS,NO REGULADO
AGOMELATINA,VALDOXAN,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
AGOMELATINA,ALODIL,SOLIDO,LAFRANCOL,NO REGULADO
AMINOS,KETOSTERIL,SOLIDO,FRESENIUS,NO REGULADO
ANFOTERICINA,AMBISOME,LIQUIDO/SOLIDO,GILEAD,NO REGULADO
ANIDULAFUNGINA,ECALTA,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
ANTIGENOS,SYNFLORIX,LIQUIDO/SOLIDO,GLAXOSMITHKLINE,NO REGULADO
APREPITANT,EMEND,LIQUIDO/SOLIDO,MERCK SHARP DOME,NO REGULADO
APREPITANT,FOSEMRED,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
APREPITANT,EMEND,SOLIDO,MERCK SHARP DOME,NO REGULADO
ATOSIBAN,TRACTOCILE,LIQUIDO/SOLIDO,FERRING,NO REGULADO
BACLOFENO,SPASTIFEN,SOLIDO,ADVANCE SCIENTIFIC,NO REGULADO
BACLOFENO,LIORESAL,SOLIDO,NOVARTIS,NO REGULADO
BRINZOLAMIDA,AZOPT,LIQUIDO,NOVARTIS,NO REGULADO
BRIVARACETAM,BRIVIACT,SOLIDO,UCB,NO REGULADO
CANNABIDIOL,SATIVEX,LIQUIDO,GW PHARMA,NO REGULADO
CARBOXIMALTOSA,FERINJECT,LIQUIDO/SOLIDO,VIFOR,NO REGULADO
COMPLEJO,OCTAPLEX,LIQUIDO/SOLIDO,OCTAPHARMA,NO REGULADO
DAPTOMICINA,CUBICIN,LIQUIDO/SOLIDO,MERCK SHARP DOME,NO REGULADO
DAPTOMICINA,DAPTOMICINA,LIQUIDO/SOLIDO,BIOSPIFAR,NO REGULADO
DAPTOMICINA,DAPTOMRED,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
DEFEROXAMINA,DESFERAL,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
DESFLURANO,SUPRANE,LIQUIDO,BAXTER,NO REGULADO
DINOPROSTONA,PROPESS,SOLIDO,FERRING,NO REGULADO
DIOSMINA,DIOSMINA/HESPERIDINA,SOLIDO,AMERICAN GENERICS,NO REGULADO
DIOSMINA,DAFLON,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
EMPAGLIFLOZINA,GLYXAMBI,SOLIDO,BOEHRINGER,NO REGULADO
ENOXAPARINA,CLENOX,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
ENOXAPARINA,ENOXAPARINA,LIQUIDO/SOLIDO,DELTA,NO REGULADO
ENOXAPARINA,CLEXANE,LIQUIDO/SOLIDO,SANOFI AVENTIS,NO REGULADO
EPOPROSTENOL,FLOLAN,LIQUIDO/SOLIDO,GLAXOSMITHKLINE,NO REGULADO
EPOPROSTENOL,VELETRI,LIQUIDO/SOLIDO,ACTELION,NO REGULADO
EPROSARTAN,TEVETEN PLUS,SOLIDO,LAFRANCOL,NO REGULADO
FLUVOXAMINA,VOXAMIN,SOLIDO,INCOBRA,NO REGULADO
FLUVOXAMINA,LUVOX,SOLIDO,LAFRANCOL,NO REGULADO
FOLITROPIN,GONAL-F,LIQUIDO/SOLIDO,MERCK,NO REGULADO
FOSFOLIPIDOS,CUROSURF,LIQUIDO/SOLIDO,CHIESI,NO REGULADO
FOSFOLIPIDOS,SURVANTA,LIQUIDO/SOLIDO,ABBOTT  / ABBVIE,NO REGULADO
FOSFOMICINA,MONURIL,SOLIDO,ZAMBON,NO REGULADO
GLICLAZIDA,DIAMICRON MR,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
INDAPAMIDA,NATRILIX,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
INSULINA,SOLIQUA,LIQUIDO/SOLIDO,SANOFI AVENTIS,NO REGULADO
IOPROMIDA,ULTRAVIST,LIQUIDO/SOLIDO,BAYER,NO REGULADO
IRBESARTAN,COAPROVEL,SOLIDO,SANOFI AVENTIS,NO REGULADO
IRBESARTAN,IRBEPREX H,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
IRBESARTAN,IRBESARTAN/HIDROCLOROTIAZIDA,SOLIDO,TECNOQUIMICAS,NO REGULADO
IRBESARTAN,BEZART H,SOLIDO,EUROFARMA,NO REGULADO
LEVODOPA,MADOPAR,SOLIDO,ROCHE,NO REGULADO
LEVODOPA,STALEVO,SOLIDO,SANDOZ,NO REGULADO
MERCAPTAMINA,CYSTADROPS,LIQUIDO,RECORDATI RARE DISEASES,NO REGULADO
MERCAPTOPURINA,PURINETHOL,SOLIDO,ASPEN,NO REGULADO
METILFENIDATO,RITALINA,SOLIDO,NOVARTIS,NO REGULADO
METILFENIDATO,CONCERTA,SOLIDO,JANSSEN,NO REGULADO
METROTEXATO,METOJECT,LIQUIDO/SOLIDO,PHARMALAB,NO REGULADO
OLANZAPINA,ZYPREXA,SOLIDO,ELI LILLY,NO REGULADO
OLANZAPINA,OLANZAPINA,SOLIDO,LA SANTE,NO REGULADO
OLANZAPINA,OLANZAPINA,SOLIDO,SANDOZ,NO REGULADO
OMEPRAZOL,LOSEC MUPS,SOLIDO,CHEPLAPHARM,NO REGULADO
PERINDOPRIL,COVERSYL A,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
PERINDOPRIL,COVERAM,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
PERINDOPRIL,VIACORAM,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
PERINDOPRIL,BI PRETERAX,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
PERINDOPRIL,BIPRETERAX,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
SAFINAMIDA,XADAGO,SOLIDO,ZAMBON,NO REGULADO
SELLANTE,BERIPLAST,LIQUIDO/SOLIDO,CSL,NO REGULADO
SELLANTE,TISSEEL,LIQUIDO/SOLIDO,BAXTER,NO REGULADO
SELLANTE,EVICEL,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
SEMAGLUTIDA,OZEMPIC,LIQUIDO/SOLIDO,NOVO NORDISK,NO REGULADO
SUGAMMADEX,BRIDION,LIQUIDO/SOLIDO,ORGANON,NO REGULADO
TELMISARTAN,CORDIAX AM,SOLIDO,SYNTHESIS,NO REGULADO
TELMISARTAN,CARDIOCAP,SOLIDO,LEGRAND,NO REGULADO
TELMISARTAN,RENANGIO PLUS,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
TERLIPRESINA,GLYPRESSIN,LIQUIDO/SOLIDO,FERRING,NO REGULADO
TERLIPRESINA,HAEMOPRESSIN,LIQUIDO/SOLIDO,ZONEPHARMA,NO REGULADO
VALSARTAN,EXFORGE,SOLIDO,NOVARTIS,NO REGULADO
VALSARTAN,VARTERAL,SOLIDO,PROCAPS,NO REGULADO
VALSARTAN,CARDIK A,SOLIDO,LEGRAND,NO REGULADO
VENETOCLAX,VENCLEXTA,SOLIDO,ABBOTT  / ABBVIE,NO REGULADO
VERAPAMILO,VERAPAMILO,SOLIDO,TECNOQUIMICAS,NO REGULADO
VERAPAMILO,VERAPAMILO,SOLIDO,LA SANTE,NO REGULADO
VERAPAMILO,ISOPTIN,SOLIDO,LAFRANCOL,NO REGULADO
VINORELBINA,VINORELBINA,LIQUIDO/SOLIDO,BLAU,NO REGULADO
VITAMINA,VITALIPID,LIQUIDO/SOLIDO,FRESENUIS,NO REGULADO
IMIGLUCERASA,BANTACE,LIQUIDO/SOLIDO,ISU,NO REGULADO
IMIGLUCERASA,CEREZYME,LIQUIDO/SOLIDO,GENZYME,NO REGULADO
FACTOR,FEIBA,LIQUIDO/SOLIDO,BAXTER,NO REGULADO
AMBRISENTAN,PULLMOVRIS,SOLIDO,THE LABS,NO REGULADO
AMBRISENTAN,AMBRISENTAN,SOLIDO,TECNOQUIMICAS,NO REGULADO
AMBRISENTAN,XETAM,SOLIDO,XINETIX PHARMA,NO REGULADO
AMBRISENTAN,BRIXENT,SOLIDO,XINETIX PHARMA,NO REGULADO
AMBRISENTAN,INFINIX,SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
AMBRISENTAN,BEVERIX,SOLIDO,LAFRANCOL,NO REGULADO
AMBRISENTAN,ENDOBLOC,SOLIDO,CIPLA,NO REGULADO
AMBRISENTAN,BRISEN,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
TERIPARATIDA,BIOSETT,LIQUIDO/SOLIDO,BIOSIDUS,NO REGULADO
TERIPARATIDA,TEOTIDE,LIQUIDO/SOLIDO,WILLOW,NO REGULADO
TERIPARATIDA,FORTEO,LIQUIDO/SOLIDO,ELI LILLY,NO REGULADO
RALTEGRAVIR,ISENTRESS,SOLIDO,MERCK SHARP DOME,NO REGULADO
PALIVIZUMAB,SYNAGIS,LIQUIDO/SOLIDO,ABBOTT  / ABBVIE,NO REGULADO
TEMOZOLOMIDA,TENSACTON,SOLIDO,LAFRANCOL,NO REGULADO
TEMOZOLOMIDA,TRIPZOL,SOLIDO,CIPLA,NO REGULADO
TEMOZOLOMIDA,TEMITOMA,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
TEMOZOLOMIDA,TEMAZ,SOLIDO,HETERO,NO REGULADO
TEMOZOLOMIDA,DRALITEM,SOLIDO,MONTE VERDE,NO REGULADO
TEMOZOLOMIDA,HB ONCOBRAIN,SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
TEMOZOLOMIDA,TEDOLIX,SOLIDO,PROCAPS,NO REGULADO
CAPECITABINA,CAPECITAL,SOLIDO,AL PHARMA,NO REGULADO
CAPECITABINA,CAPETABIN,SOLIDO,NEXT PHARMA,NO REGULADO
CAPECITABINA,CORRETAL,SOLIDO,EUROFARMA,NO REGULADO
CAPECITABINA,CEPECTIN,SOLIDO,PROCAPS,NO REGULADO
CAPECITABINA,KPBYN,SOLIDO,PISA,NO REGULADO
CAPECITABINA,CAPEGARD,SOLIDO,CIPLA,NO REGULADO
CAPECITABINA,CAPIIBINE,SOLIDO,DR REDDYS,NO REGULADO
CAPECITABINA,CAPECITABINA,SOLIDO,SANDOZ,NO REGULADO
CAPECITABINA,CAXETA,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
CAPECITABINA,CAPECITABINA,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
CAPECITABINA,CAPEC,SOLIDO,HETERO,NO REGULADO
DASATINIB,LITEDA,SOLIDO,MONTE VERDE,NO REGULADO
DASATINIB,REMBRE,SOLIDO,LKM,NO REGULADO
DASATINIB,ETERSA,SOLIDO,SYNTHESIS,NO REGULADO
DASATINIB,SPRYCEL,SOLIDO,BRISTOL MYERS SQUIBB,NO REGULADO
BORTEZOMIB,TEBIDE,LIQUIDO/SOLIDO,GENBIE,NO REGULADO
BORTEZOMIB,EGIDON,LIQUIDO/SOLIDO,RICHMOND,NO REGULADO
BORTEZOMIB,MIBZO,LIQUIDO/SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
BORTEZOMIB,BELOCEF,LIQUIDO/SOLIDO,LEGRAND,NO REGULADO
BORTEZOMIB,FIZOMEB,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
BORTEZOMIB,PORIX,LIQUIDO/SOLIDO,XINETIX PHARMA,NO REGULADO
BORTEZOMIB,BORTEZOMIB,LIQUIDO/SOLIDO,MASTERS PHARMACEUTICALS,NO REGULADO
BORTEZOMIB,UNITEZO,LIQUIDO/SOLIDO,PROCLIN,NO REGULADO
BORTEZOMIB,BORTEZOMIB,LIQUIDO/SOLIDO,KEMEX,NO REGULADO
BORTEZOMIB,BORTEMIX,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
BORTEZOMIB,ZOMITEC,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
BORTEZOMIB,REBTYK,LIQUIDO/SOLIDO,PISA,NO REGULADO
BORTEZOMIB,BOTEMIB,LIQUIDO/SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
BORTEZOMIB,BORTEZOMIB,LIQUIDO/SOLIDO,LIBRA,NO REGULADO
BORTEZOMIB,TIZOB,LIQUIDO/SOLIDO,LKM,NO REGULADO
BORTEZOMIB,BORTESUN,LIQUIDO/SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
BORTEZOMIB,BOZIB,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
BORTEZOMIB,BORTEZOMIB,LIQUIDO/SOLIDO,ROPSOHN,NO REGULADO
BORTEZOMIB,BORTEN,LIQUIDO/SOLIDO,HETERO,NO REGULADO
BORTEZOMIB,BORTEZOMIB,LIQUIDO/SOLIDO,SANDOZ,NO REGULADO
BEVACIZUMAB,ZIRABEV,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
BEVACIZUMAB,MVASI,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
INFLIXIMAB,AVSOLA,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
INFLIXIMAB,REMSIMA,LIQUIDO/SOLIDO,CELLTRION,NO REGULADO
ADALIMUMAB,IDACIO,LIQUIDO/SOLIDO,FRESENIUS,NO REGULADO
ADALIMUMAB,HYRIMOZ,LIQUIDO/SOLIDO,SANDOZ,NO REGULADO
ADALIMUMAB,AMGEVITA,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
ADALIMUMAB,HUMIRA AC,LIQUIDO/SOLIDO,ABBOTT  / ABBVIE,NO REGULADO
GALANTAMINA,ANTAMIN,SOLIDO,PROCAPS,NO REGULADO
VALGANCICLOVIR,RIVOL-X,SOLIDO,XINETIX PHARMA,NO REGULADO
VALGANCICLOVIR,TRASGARIV,SOLIDO,PISA,NO REGULADO
VALGANCICLOVIR,VALGOVIR,SOLIDO,HETERO,NO REGULADO
VALGANCICLOVIR,GANOCIP,SOLIDO,CIPLA,NO REGULADO
VALGANCICLOVIR,VALGANCICLOVIR,SOLIDO,GENFAR,NO REGULADO
VALGANCICLOVIR,VALKIR,SOLIDO,LEGRAND,NO REGULADO
LINEZOLID,LINOID,SOLIDO,CIPLA,NO REGULADO
LINEZOLID,GLENZOLID,SOLIDO,GLENMARK,NO REGULADO
LINEZOLID,LINEZOLID,SOLIDO,SANDOZ,NO REGULADO
LINEZOLID,MEZOLIDE,SOLIDO,BIOSPIFAR,NO REGULADO
LINEZOLID,LINEXA,SOLIDO,LAFRANCOL,NO REGULADO
LINEZOLID,BIOZOLIDA,SOLIDO,BIOFLUIDOS & FARMA,NO REGULADO
TACROLIMUS,TACROLIMUS,SOLIDO,VEROS HEALTH,NO REGULADO
TACROLIMUS,FRAMEBIN,SOLIDO,PISA,NO REGULADO
TACROLIMUS,PREJOTAC,SOLIDO,ALKEM,NO REGULADO
ALGLUCOSIDASA,MYOZYME,LIQUIDO/SOLIDO,GENZYME,NO REGULADO
BICALUTAMIDA,BICALEX,SOLIDO,LEGRAND,NO REGULADO
BICALUTAMIDA,BICAHET,SOLIDO,HETERO,NO REGULADO
BICALUTAMIDA,HB ONCOPROST,SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
BICALUTAMIDA,ANDRODEX,SOLIDO,PINT PHARMA,NO REGULADO
BICALUTAMIDA,BICALIDA,SOLIDO,CIPLA,NO REGULADO
BICALUTAMIDA,BICALUTAMIDA,SOLIDO,HEALTH NET,NO REGULADO
BICALUTAMIDA,BICALUTAMIDA,SOLIDO,KERN PHARMA,NO REGULADO
CASPOFUNGINA,CASPOFUNGINAA,LIQUIDO/SOLIDO,SRS LIFE,NO REGULADO
CASPOFUNGINA,CAFUGIN,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
CASPOFUNGINA,CASPOFUNGINA,LIQUIDO/SOLIDO,NORSTRAY NUART,NO REGULADO
CASPOFUNGINA,CASPOFUNGINA70,LIQUIDO/SOLIDO,NORSTRAY Y NUART,NO REGULADO
CASPOFUNGINA,CAXOFU,LIQUIDO/SOLIDO,XINETIX PHARMA,NO REGULADO
CASPOFUNGINA,CASPOVITAE,LIQUIDO/SOLIDO,GALENICUM HEALTH,NO REGULADO
CASPOFUNGINA,CASPOFUNGINA,LIQUIDO/SOLIDO,AVALON,NO REGULADO
CASPOFUNGINA,ESTATIN 70,LIQUIDO/SOLIDO,CIPLA,NO REGULADO
CASPOFUNGINA,ESTASIN 50,LIQUIDO/SOLIDO,CIPLA,NO REGULADO
CASPOFUNGINA,CASPOFUNGINA,LIQUIDO/SOLIDO,BIOSPIFAR,NO REGULADO
CASPOFUNGINA,SUVEPUR,LIQUIDO/SOLIDO,PISA,NO REGULADO
CASPOFUNGINA,CASPONGYN,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
CASPOFUNGINA,CASPOFUNGINA,LIQUIDO/SOLIDO,SETAA,NO REGULADO
CASPOFUNGINA,CAPSIN,LIQUIDO/SOLIDO,LEGRAND,NO REGULADO
CASPOFUNGINA,KAFUM,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
CICLOSPORINA,CITABICLOS,SOLIDO,MEGALABS,NO REGULADO
DABIGATRAN,DABITROM,SOLIDO,ALKEM,NO REGULADO
DECITABINA,NALBINE,LIQUIDO/SOLIDO,AL PHARMA,NO REGULADO
DECITABINA,DECICIP,LIQUIDO/SOLIDO,CIPLA,NO REGULADO
DECITABINA,REDTIBIN,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
DECITABINA,DACOGEN,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
DEFERASIROX,FERRINOVA,SOLIDO,LEGRAND,NO REGULADO
DEFERASIROX,FERASIRO,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
DEFERASIROX,JEDOXRED,SOLIDO,DR REDDYS,NO REGULADO
DEFERASIROX,JADENU,SOLIDO,NOVARTIS,NO REGULADO
ESOMEPRAZOL,YESOM,LIQUIDO/SOLIDO,ASPIRO PHARMA,NO REGULADO
ESOMEPRAZOL,ESOMEPRAZOL,LIQUIDO/SOLIDO,PHARMAYECT,NO REGULADO
ESOMEPRAZOL,ESOMEPRAZOL,LIQUIDO/SOLIDO,AVALON,NO REGULADO
ESOMEPRAZOL,SOMPRAZ,LIQUIDO/SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
ESOMEPRAZOL,DELSOMEP,LIQUIDO/SOLIDO,DELTA,NO REGULADO
ESOMEPRAZOL,EZOLIUM,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
ESOMEPRAZOL,EZOLE,LIQUIDO/SOLIDO,BUSSIE,NO REGULADO
EXEMESTANO,EXEVITAE,SOLIDO,GALENICUM HEALTH,NO REGULADO
EXEMESTANO,TUGEM,SOLIDO,GENEPHARM,NO REGULADO
EXEMESTANO,EXTANO,SOLIDO,LEGRAND,NO REGULADO
EXEMESTANO,EXEMESTANO,SOLIDO,PINT PHARMA,NO REGULADO
FULVESTRANT,FULVESTRANT,LIQUIDO/SOLIDO,SANDOZ,NO REGULADO
FULVESTRANT,FLUVESTRANT,LIQUIDO/SOLIDO,KEMEX,NO REGULADO
FULVESTRANT,ERANFU,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
GALSULFASE,NAGLAZYME,LIQUIDO/SOLIDO,BIOMARIN,NO REGULADO
IDURSULFASA,ELAPRASE,LIQUIDO/SOLIDO,BAXALTA,NO REGULADO
INSULINA,FIASP,LIQUIDO/SOLIDO,NOVO NORDISK,NO REGULADO
INSULINA,TOUJEO,LIQUIDO/SOLIDO,SANOFI AVENTIS,NO REGULADO
INSULINA,BASAGLAR,LIQUIDO/SOLIDO,ELI LILLY,NO REGULADO
INSULINA,GLARITUS,LIQUIDO/SOLIDO,ELIXYM BIOPHARMACEUTICAL,NO REGULADO
